file,a,mpi_1,mpi_2,mpi_3,omp_data,omp_task,ref_seq,seq,speedup_ref_seq,speedup_omp_task,speedup_omp_data,speedup_mpi_1,speedup_mpi_2,speedup_mpi_3,mpi_1_rec,mpi_2_rec,mpi_3_rec,omp_data_rec,omp_task_rec,seq_rec,speedup_seq_vs_omp_data,speedup_ref_vs_omp_data,speedup_seq_vs_omp_task,speedup_ref_vs_omp_task,speedup_seq_vs_mpi_1,speedup_ref_vs_mpi_1,speedup_seq_vs_mpi_2,speedup_ref_vs_mpi_2,speedup_seq_vs_mpi_3,speedup_ref_vs_mpi_3,speedup_omp_data_vs_task
graf_10_5.txt,5,0.0388391,0.038385,0.700087,0.00013593,0.000471052,0.0,0.000105423,inf,0.2238033168312627,0.7755683072169498,0.0027143522893166,0.0027464634622899,0.0001505855700791,83.0,241.0,199.0,115.0,193.0,183.0,0.7755683072169498,,0.22380331683126278,,0.0027143522893166936,,0.002746463462289957,,0.0001505855700791473,,3.4654013094975356
graf_10_6b.txt,5,0.0476822,0.0494458,0.0399271,0.00699702,0.00681256,0.0,6.56e-05,inf,0.0096292729898892,0.0093754198215811,0.0013757754466027,0.0013267052004416,0.001642994357216,76.0,252.0,181.0,158.0,193.0,202.0,0.009375419821581188,,0.009629272989889264,,0.0013757754466027154,,0.0013267052004416956,,0.0016429943572160261,,0.9736373484712063
graf_10_7.txt,5,0.0330964,0.049645,0.042686,0.00770061,0.000427268,0.0,8.83e-05,inf,0.206661860939738,0.0114666240726384,0.002667963887311,0.0017786282606506,0.0020685939183807,100.0,316.0,259.0,206.0,242.0,277.0,0.011466624072638402,,0.20666186093973807,,0.002667963887311007,,0.0017786282606506193,,0.002068593918380734,,0.055484955087973555
graf_15_14.txt,5,0.040798,0.0466972,0.0464536,0.00645705,0.00252995,0.0,0.00245165,inf,0.9690507717543826,0.3796857698174863,0.0600924064905142,0.0525010064843288,0.0527763187352541,136.0,5598.0,5636.0,5990.0,6020.0,6019.0,0.37968576981748636,,0.9690507717543826,,0.06009240649051424,,0.05250100648432882,,0.05277631873525411,,0.39181205039453004
graf_20_12.txt,10,0.0590673,0.117091,0.103996,0.00476989,0.0034434,0.02,0.0245417,1.227085,7.127170819538828,5.145129132956945,0.4154870799918059,0.2095951012460394,0.2359869610369629,3068.0,59939.0,23281.0,17379.0,38767.0,39277.0,5.145129132956945,4.192968810601503,7.1271708195388275,5.808212812917465,0.41548707999180595,0.3385968209144484,0.2095951012460394,0.17080732080176958,0.23598696103696296,0.1923150890418862,0.7219034401212607
graf_20_17.txt,10,0.0598901,0.133543,0.137302,0.00298345,0.010151,0.02,0.0484901,2.424505,4.776879125209339,16.253029211148167,0.8096513447130661,0.3631047677527089,0.353163828640515,3687.0,119046.0,61412.0,59182.0,82052.0,86411.0,16.253029211148167,6.703648460674723,4.776879125209339,1.9702492365284208,0.8096513447130661,0.3339450092753226,0.3631047677527089,0.14976449533109187,0.35316382864051504,0.14566430204949674,3.4024367762154553
graf_20_7.txt,7,0.0583538,0.0775172,0.0430638,0.00152065,0.00191714,0.02,0.00776363,0.3881814999999999,4.049589492681808,5.10546805642324,0.1330441205200004,0.1001536433204501,0.1802820466377793,268.0,13214.0,5948.0,5535.0,9325.0,10381.0,5.10546805642324,13.152270410679645,4.0495894926818075,10.432206307311935,0.13304412052000042,0.34273689117075495,0.10015364332045018,0.25800725516401524,0.1802820466377793,0.46442719871446553,1.2607371847565185
graf_20_7.txt,10,0.0513671,0.0899592,0.0709878,0.00334884,0.00652727,0.02,0.00787336,0.3936679999999999,1.2062255736318552,2.3510708185520954,0.1532763188889386,0.0875214541703349,0.1109114523904107,268.0,13214.0,5948.0,5535.0,9325.0,10381.0,2.3510708185520954,5.972217245374518,1.2062255736318552,3.064068132618997,0.15327631888893864,0.38935427540195966,0.08752145417033498,0.2223230086528115,0.11091145239041074,0.2817385522582754,1.9491137229607864
graf_30_10.txt,10,0.0627989,0.465937,0.203179,0.036411,0.130106,1.9,0.888179,0.4674626315789474,6.826579865648011,24.3931504215759,14.143225438662142,1.9062212273333088,4.371411415549836,2699.0,959989.0,94121.0,328478.0,793457.0,733615.0,24.3931504215759,52.182032902144954,6.826579865648011,14.603477164773338,14.143225438662142,30.25530701970894,1.9062212273333092,4.077804510051788,4.371411415549836,9.35136013072217,3.5732608277718274
graf_30_10.txt,15,1.07399,4.01164,2.19649,0.0657218,0.0981957,3.9,0.911922,0.2338261538461538,9.286781396741404,13.875487281236971,0.8490972914086723,0.2273190017050383,0.4151723886746582,2699.0,959989.0,94121.0,328478.0,793457.0,733615.0,13.875487281236973,59.34104056796984,9.286781396741405,39.71660673532548,0.8490972914086723,3.631318727362452,0.22731900170503835,0.9721709824410965,0.4151723886746582,1.7755600981566044,1.494111542897486
graf_30_20.txt,15,1.1142,7.92533,5.59965,0.321835,0.630512,13.0,6.93886,0.5337584615384615,11.005119648793364,21.560302639551324,6.227661102136062,0.8755294732206735,1.2391595903315389,102847.0,12693905.0,3006829.0,4011800.0,6888475.0,6653893.0,21.560302639551324,40.39336927307471,11.005119648793363,20.618164285533027,6.227661102136062,11.667564171602942,0.8755294732206735,1.6403102457563281,1.2391595903315387,2.321573669782933,1.9591156959311449
