file,a,mpi_1,mpi_2,mpi_3,omp_data,omp_task,ref_seq,seq,speedup_ref_seq,speedup_omp_task,speedup_omp_data,speedup_mpi_1,speedup_mpi_2,speedup_mpi_3
graf_10_5.txt,5,0.0388391,0.038385,0.700087,0.00013593,0.000471052,0.0,0.000105423,inf,0.22380331683126278,0.7755683072169498,0.0027143522893166936,0.002746463462289957,0.0001505855700791473
graf_10_6b.txt,5,0.0476822,0.0494458,0.0399271,0.00699702,0.00681256,0.0,6.56e-05,inf,0.009629272989889264,0.009375419821581188,0.0013757754466027154,0.0013267052004416956,0.0016429943572160261
graf_10_7.txt,5,0.0330964,0.049645,0.042686,0.00770061,0.000427268,0.0,8.83e-05,inf,0.20666186093973807,0.011466624072638402,0.002667963887311007,0.0017786282606506193,0.002068593918380734
graf_15_14.txt,5,0.040798,0.0466972,0.0464536,0.00645705,0.00252995,0.0,0.00245165,inf,0.9690507717543826,0.37968576981748636,0.06009240649051424,0.05250100648432882,0.05277631873525411
graf_20_12.txt,10,0.0590673,0.117091,0.103996,0.00476989,0.0034434,0.02,0.0245417,1.227085,7.1271708195388275,5.145129132956945,0.41548707999180595,0.2095951012460394,0.23598696103696296
graf_20_17.txt,10,0.0598901,0.133543,0.137302,0.00298345,0.010151,0.02,0.0484901,2.424505,4.776879125209339,16.253029211148167,0.8096513447130661,0.3631047677527089,0.35316382864051504
graf_20_7.txt,7,0.0583538,0.0775172,0.0430638,0.00152065,0.00191714,0.02,0.00776363,0.38818149999999996,4.0495894926818075,5.10546805642324,0.13304412052000042,0.10015364332045018,0.1802820466377793
graf_20_7.txt,10,0.0513671,0.0899592,0.0709878,0.00334884,0.00652727,0.02,0.00787336,0.39366799999999996,1.2062255736318552,2.3510708185520954,0.15327631888893864,0.08752145417033498,0.11091145239041074
graf_30_10.txt,10,0.0627989,0.465937,0.203179,0.036411,0.130106,1.9,0.888179,0.4674626315789474,6.826579865648011,24.3931504215759,14.143225438662142,1.9062212273333092,4.371411415549836
graf_30_10.txt,15,1.07399,4.01164,2.19649,0.0657218,0.0981957,3.9,0.911922,0.23382615384615385,9.286781396741405,13.875487281236973,0.8490972914086723,0.22731900170503835,0.4151723886746582
graf_30_20.txt,15,1.1142,7.92533,5.59965,0.321835,0.630512,13.0,6.93886,0.5337584615384615,11.005119648793363,21.560302639551324,6.227661102136062,0.8755294732206735,1.2391595903315387
graf_32_22.txt,10,0.0713758,3.48629,0.646947,0.587601,1.04452,6.3,5.53075,0.8778968253968255,5.2950158924673545,9.41242441724912,77.48774794818412,1.586428552988994,8.549000149935003
graf_32_25.txt,12,0.211281,11.1633,3.06861,1.60171,3.58045,24.0,20.5361,0.8556708333333334,5.735619824323758,12.821359671850711,97.19804431065738,1.839608359535263,6.692313457884841
graf_35_25.txt,12,0.221909,36.6458,7.02315,5.73599,10.2234,65.0,73.9693,1.1379892307692308,7.235293542265783,12.89564661026257,333.3316810043757,2.0184932516141005,10.532211329674007
graf_35_25.txt,17,2.6525,88.4059,33.2186,6.07222,16.0082,191.0,109.697,0.5743298429319372,6.852550567833986,18.065386300232866,41.35607917059378,1.2408334737839894,3.3022764354909597
graf_40_15.txt,15,1.57929,120.68,21.7178,8.10201,51.2015,403.0,259.537,0.6440124069478907,5.068933527338065,32.03365584589503,164.3377720368013,2.1506214782896915,11.950427759717833
graf_40_15.txt,20,2.80487,295.644,68.5089,6.37945,45.8628,2312.0,312.076,0.1349809688581315,6.80455619805158,48.918950693241584,111.26219753500162,1.0555803601628986,4.555262163018236
graf_40_25.txt,20,5.16683,,98.7472,60.2925,114.198,5052.0,842.631,0.16679156769596198,7.378684390269532,13.975718372931958,163.0847153864168,,8.533214106324026
graf_40_8.txt,15,1.54672,17.0876,7.38073,0.422758,2.66689,180.0,16.795,0.09330555555555556,6.297597576202993,39.727219827892085,10.858461777180098,0.9828764718275242,2.275520172123896
graf_40_8.txt,20,2.80769,30.6209,14.561,0.34287,3.33941,275.0,19.2777,0.07010072727272727,5.7727862107378245,56.224516580628226,6.866035780303381,0.6295602023454568,1.3239269280955979
